"filename", "language", "Java", "Java Properties", "XML", "Batch", "Log", "Markdown", "JSON", "comment", "blank", "total"
"/home/jos/Documentos/GitHub/Biblioteca_SG/Comuna/comuna/src/test/java/com/biblioteca/comuna/ComunaApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/home/jos/Documentos/GitHub/Biblioteca_SG/Comuna/persona.log", "Log", 0, 0, 0, 0, 195, 0, 0, 0, 1, 196
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/.mvn/wrapper/maven-wrapper.properties", "Java Properties", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/mvnw.cmd", "Batch", 0, 0, 0, 139, 0, 0, 0, 26, 25, 190
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/pom.xml", "XML", 0, 0, 152, 0, 0, 0, 0, 0, 161, 313
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/EdicionApplication.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/client/EjemplarClient.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/client/FeignConfig.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/controller/EdicionController.java", "Java", 83, 0, 0, 0, 0, 0, 0, 0, 17, 100
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/dto/EjemplarDTO.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/dto/EjemplarEdicionDTO.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/exception/GlobalExceptionHandler.java", "Java", 24, 0, 0, 0, 0, 0, 0, 2, 6, 32
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/model/Edicion.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/repository/EdicionRepository.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 8, 18
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/security/SecurityConfig.java", "Java", 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/java/com/example/edicion/service/EdicionService.java", "Java", 47, 0, 0, 0, 0, 0, 0, 0, 16, 63
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/main/resources/application.properties", "Java Properties", 0, 21, 0, 0, 0, 0, 0, 7, 11, 39
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/edición/src/test/java/com/example/edicion/EdicionApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/home/jos/Documentos/GitHub/Biblioteca_SG/Edicion/persona.log", "Log", 0, 0, 0, 0, 796, 0, 0, 0, 3, 799
"/home/jos/Documentos/GitHub/Biblioteca_SG/Editorial/editorial/.mvn/wrapper/maven-wrapper.properties", "Java Properties", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/jos/Documentos/GitHub/Biblioteca_SG/Editorial/editorial/mvnw.cmd", "Batch", 0, 0, 0, 139, 0, 0, 0, 26, 25, 190
"/home/jos/Documentos/GitHub/Biblioteca_SG/Editorial/editorial/pom.xml", "XML", 0, 0, 152, 0, 0, 0, 0, 0, 161, 313
"/home/jos/Documentos/GitHub/Biblioteca_SG/Editorial/editorial/src/main/java/com/biblioteca/editorial/EditorialApplication.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/jos/Documentos/GitHub/Biblioteca_SG/Editorial/editorial/src/main/java/com/biblioteca/editorial/client/EdicionClient.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/home/jos/Documentos/GitHub/Biblioteca_SG/Editorial/editorial/src/main/java/com/biblioteca/editorial/client/FeignConfig.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"/home/jos/Documentos/GitHub/Biblioteca_SG/Editorial/editorial/src/main/java/com/biblioteca/editorial/controller/EditorialController.java", "Java", 82, 0, 0, 0, 0, 0, 0, 0, 16, 98
"/home/jos/Documentos/GitHub/Biblioteca_SG/Editorial/editorial/src/main/java/com/biblioteca/editorial/controller/EditorialEdicionController.java", "Java", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
